,Screen_Size,Screen_Tech,Screen_Body_Ratio,CPU_Model,CPU_Freq,GPU_Model,RAM,Operating_System,CPU_Tickness,GPU_Freq,RAM_Type,Camera_Resolution,Selfie_Camera_Resolution,Width,Height,Tickness,Weight,Charge_Type,Battery_Size,Storage_Capacity,Release_Year,PRICE
55,6.7 inç,OLED,87.4 %,Apple A15 Bionic,3.22 GHz,5x Apple GPU,6 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,78.1 mm,6.7 inç,7.7 mm,240 gr,Lightning,4373 mAh,128 GB,2021,"25.500,00 TL"
56,6.53 inç,IPS LCD,83.4%,Qualcomm SM6115 Snapdragon 662,2.0 GHz,Adreno 610,4 GB RAM,Android 10.0,11 nm,Missing,LPDDR4x,48 MP,8 Mp,77.3 mm,6.53 inç,9.6 mm,198 gr,USB Type-C,6000 mAh,128 GB,2021,"3.015,00 TL"
57,6.1 inç,OLED,86.0 %,Apple A15 Bionic,3.22 GHz,Apple Quad-Core,4 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,71.5 mm,6.1 inç,7.7 mm,174 gr,Lightning,3240 mAh,128 GB,2021,"15.325,24 TL"
58,5.4 inç,OLED,85.1 %,Apple A14 Bionic,Missing,Apple Quad-Core,4 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,64.2 mm,5.4 inç,7.4 mm,135 gr,Lightning,Missing,64 GB,2020,"10.449,00 TL"
59,6.1 inç,OLED,86.0 %,Apple A15 Bionic,3.22 GHz,5x Apple GPU,6 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,71.5 mm,6.1 inç,7.7 mm,204 gr,Lightning,3125 mAh,128 GB,2021,"21.949,00 TL"
60,6.5 inç,Super AMOLED,84.8 %,Exynos 990,2.73 GHz,Mali-G77 MP11,6 GB RAM,Android 10.0,7 nm+,Missing,LPDDR5,12 MP,8 Mp,74.5 mm,6.5 inç,8.4 mm,190 gr,USB Type-C,4500 mAh,128 GB,2020,"6.445,36 TL"
61,6.1 inç,OLED,86.0 %,Apple A14 Bionic,Missing,Apple Quad-Core,6 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,71.5 mm,6.1 inç,7.4 mm,189 gr,Lightning,2815 mAh,128 GB,2020,"17.999,00 TL"
62,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,188 g,Missing,Missing,Missing,Missing,"9.499,00 TL"
63,5.4 inç,OLED,85.1 %,Apple A14 Bionic,Missing,Apple Quad-Core,4 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,64.2 mm,5.4 inç,7.4 mm,135 gr,Lightning,Missing,64 GB,2020,"10.449,00 TL"
64,6.55 inç,IPS LCD,Missing,Missing,Missing,Missing,8 GB RAM,Android 10.0,Missing,Missing,Missing,48 MP,Missing,Missing,6.55 inç,Missing,Missing,Micro-USB,4000 mAh,128 GB,Missing,"2.599,00 TL"
65,6.4 inç,Super AMOLED,84.2 %,Exynos 9611,2.3 GHz,Mali-G72 MP3,4 GB RAM,Android 10.0,10 nm,Missing,LPDDR4x,48 MP,20 MP,75.1 mm,6.4 inç,8.9 mm,188 gr,USB Type-C,6000 mAh,64 GB,2020,"2.744,00 TL"
66,6.2 inç,Dynamic AMOLED,Missing,Exynos 2100,Missing,Missing,8 GB RAM,Android 11,5 nm,Missing,LPDDR5,12 MP,10 MP,Missing,6.2 inç,Missing,Missing,USB Type-C,4500 mAh,128 GB,2020,"8.750,00 TL"
67,6.5 inç,Super AMOLED,84.9 %,Qualcomm Snapdragon 720G (SM7125),2.3 GHz,Adreno 619,8 GB RAM,Android 11,8 nm,Missing,LPDDR4x,64 MP,32 MP,75.1 mm,6.5 inç,8.4 mm,189 gr,USB Type-C,4500 mAh,128 GB,2021,"4.499,00 TL"
68,6.52 inç,IPS LCD,83.0 %,Mediatek MT6765 Helio P35,2.35 GHz,PowerVR GE8320,4 GB RAM,Android 10.0,12 nm,Missing,Missing,13 MP,5 MP,75.4 mm,6.52 inç,7.9 mm,175 gr,Micro-USB,4230 mAh,64 GB,2020,"2.497,00 TL"
69,6.1 inç,IPS LCD,79 %,Apple A13 Bionic,2.66 GHz,Missing,4 GB RAM,iOS 13,7 nm,Missing,LPDDR4x,12 MP,12 MP,75.7 mm,6.1 inç,8.3 mm,194 gr,Lightning,Missing,128 GB,2019,"11.099,00 TL"
70,6.53 inç,IPS LCD,83.5 %,MediaTek Helio G85,2.0 GHz,Mali-G52 MC2,4 GB RAM,Android 10.0,12 nm,1000 MHz,LPDDR4x,48 MP,13 MP,77.2 mm,6.53 inç,8.9 mm,199 gr,USB Type-C,5020 mAh,128 GB,2020,"2.999,00 TL"
71,6.7 inç,Super AMOLED,84.9 %,Qualcomm SM7125 Snapdragon 720G,2.3 GHz,Adreno 618,8 GB RAM,Android 11,8 nm,750 MHz,Missing,64 MP,32 MP,77.4 mm,6.7 inç,8.4 mm,203 gr,USB Type-C,5000 mAh,128 GB,2021,"6.373,00 TL"
72,6.1 inç,OLED,86.0 %,Apple A14 Bionic,3.1 GHz,Apple Quad-Core,4 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,71.5 mm,6.1 inç,7.4 mm,164 gr,Lightning,2775 mAh,128 GB,2020,"13.199,00 TL"
73,6.1 inç,OLED,86.0 %,Apple A15 Bionic,3.22 GHz,Apple Quad-Core,4 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,71.5 mm,6.1 inç,7.7 mm,174 gr,Lightning,3240 mAh,128 GB,2021,"15.449,00 TL"
74,6.7 inç,OLED,87.4 %,Apple A14 Bionic,Missing,Apple Quad-Core,6 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,78.1 mm,6.7 inç,7.4 mm,228 gr,Lightning,3687 mAh,256 GB,2020,"21.399,00 TL"
75,6.7 inç,Super AMOLED,89.2 %,Qualcomm SM8250 Snapdragon 865+,2.73 GHz,Mali-G77 MP11,8 GB RAM,Android 10.0,7 nm+,Missing,Missing,64 MP,10 MP,75.2 mm,6.7 inç,8.3 mm,192 gr,USB Type-C,4300 mAh,256 GB,2020,"13.898,99 TL"
76,5.84 inç,IPS LCD,79.38 %,HiSilicon Kirin 659,2.36 GHz,Mali-T830 MP2,4 GB RAM,Android 8.0 (Oreo),16 nm,Missing,LPDDR3,16 MP,16 MP,71.2 mm,5.84 inç,7.4 mm,145 gr,USB Type-C,3000 mAh,64 GB,2018,"2.057,02 TL"
77,6.51 inç,IPS LCD,82.6 %,Mediatek MT6765 Helio P35,2.35 GHz,PowerVR GE8320,4 GB RAM,Android 10.0,12 nm,Missing,LPDDR4x,13 MP,16 MP,75.7 mm,6.51 inç,8.4 mm,192 gr,USB Type-C,5000 mAh,128 GB,2021,"2.898,84 TL"
78,6.7 inç,Super AMOLED,86.4 %,Qualcomm SM7325 Snapdragon 778G 5G,2.4 GHz,Adreno 642L,8 GB RAM,Android 11,6 nm,Missing,LPDDR4x,64 MP,32 MP,76.4 mm,6.7 inç,7.4 mm,173 gr,USB Type-C,5000 mAh,128 GB,2021,"5.021,39 TL"
79,6.5 inç,PLS TFT,82.8 %,Exynos 850,2.0 GHz,Mali-G52,4 GB RAM,Android 10.0,8 nm,Missing,Missing,48 MP,13 MP,75.3 mm,6.5 inç,8.9 mm,192 gr,USB Type-C,5000 mAh,64 GB,2020,"2.920,00 TL"
80,6.67 inç,IPS LCD,85.2 %,Qualcomm SM8250 Snapdragon 865,2.84 GHz,Adreno 650,8 GB RAM,Android 10.0,7 nm+,587 MHz,LPDDR5,108 MP,20 MP,76.4 mm,6.67 inç,9.3 mm,218 gr,USB Type-C,5000 mAh,256 GB,2020,"12.540,00 TL"
81,6.52 inç,IPS LCD,82.09 %,MediaTek Helio G35,2.3 GHz,PowerVR GE8320,4 GB RAM,Android 11,12 nm,680 MHz,Missing,16 MP,8 Mp,75.8 mm,6.52 inç,9.1 mm,185 gr,USB Type-C,5050 mAh,64 GB,2021,"2.139,00 TL"
82,6.7 inç,OLED,87.4 %,Apple A14 Bionic,Missing,Apple Quad-Core,6 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,78.1 mm,6.7 inç,7.4 mm,228 gr,Lightning,3687 mAh,256 GB,2020,"21.399,00 TL"
83,6.3 inç,IPS LCD,80.98 %,Qualcomm Snapdragon 665 (SM6125),2.0 GHz,Adreno 610,4 GB RAM,Android 9.0 (Pie),11 nm,Missing,LPDDR4x,48 MP,13 MP,75.3 mm,6.3 inç,8.4 mm,190 gr,USB Type-C,4000 mAh,64 GB,2019,"2.928,24 TL"
84,6.5 inç,Super AMOLED,84.8 %,Exynos 990,2.73 GHz,Mali-G77 MP11,8 GB RAM,Android 10.0,7 nm+,Missing,LPDDR5,12 MP,32 MP,74.5 mm,6.5 inç,8.4 mm,190 gr,USB Type-C,4500 mAh,256 GB,2020,"7.766,50 TL"
85,6.5 inç,IPS LCD,81.7 %,Mediatek Helio G70,2.0 GHz,Mali-G52 2EEMC2,4 GB RAM,Android 11,12 nm,820 MHz,LPDDR4x,48 MP,8 Mp,75.9 mm,6.5 inç,9.6 mm,209 gr,USB Type-C,6000 mAh,64 GB,2021,"2.449,00 TL"
86,6.67 inç,IPS LCD,84.6 %,Qualcomm Snapdragon 860,2.96 GHz,Adreno 640,6 GB RAM,Android 11,7 nm,Missing,LPDDR4x,48 MP,20 MP,76.8 mm,6.67 inç,9.4 mm,215 gr,USB Type-C,5160 mAh,128 GB,2021,"4.239,90 TL"
87,6.1 inç,IPS LCD,79 %,Apple A13 Bionic,2.66 GHz,Missing,4 GB RAM,iOS 13,7 nm,Missing,LPDDR4x,12 MP,12 MP,75.7 mm,6.1 inç,8.3 mm,194 gr,Lightning,Missing,128 GB,2019,"11.015,00 TL"
88,5.4 inç,OLED,85.1 %,Apple A15 Bionic,Missing,Apple Quad-Core,4 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,64.2 mm,5.4 inç,7.7 mm,141 gr,Lightning,2425 mAh,128 GB,2021,"13.799,99 TL"
89,6.5 inç,Super AMOLED,84.9 %,Qualcomm Snapdragon 720G (SM7125),2.3 GHz,Adreno 619,8 GB RAM,Android 11,8 nm,Missing,LPDDR4x,64 MP,32 MP,75.1 mm,6.5 inç,8.4 mm,189 gr,USB Type-C,4500 mAh,128 GB,2021,"4.787,00 TL"
90,6.4 inç,Super AMOLED,84.6 %,Mediatek Helio G80,2.0 GHz,Mali-G52 MC2,6 GB RAM,Android 11,12 nm,950 MHz,LPDDR4x,64 MP,20 MP,73.6 mm,6.4 inç,8.4 mm,184 gr,USB Type-C,5000 mAh,128 GB,2021,"3.699,00 TL"
91,6.4 inç,Super AMOLED,84.6 %,Mediatek Helio G80,2.0 GHz,Mali-G52 MC2,6 GB RAM,Android 11,12 nm,950 MHz,LPDDR4x,64 MP,20 MP,73.6 mm,6.4 inç,8.4 mm,184 gr,USB Type-C,5000 mAh,128 GB,2021,"3.699,00 TL"
92,6.6 inç,IPS LCD,84.9 %,MediaTek MT6891Z Dimensity 1100 5G,2.6 GHz,Mali-G77 MC9,8 GB RAM,Android 11,6 nm,Missing,LPDDR4x,64 MP,16 MP,75.9 mm,6.6 inç,8.9 mm,193 gr,USB Type-C,5000 mAh,128 GB,2021,"4.699,00 TL"
93,6.5 inç,Super AMOLED,84.9 %,Qualcomm Snapdragon 720G (SM7125),2.3 GHz,Adreno 619,8 GB RAM,Android 11,8 nm,Missing,LPDDR4x,64 MP,32 MP,75.1 mm,6.5 inç,8.4 mm,189 gr,USB Type-C,4500 mAh,128 GB,2021,"4.499,00 TL"
94,6.67 inç,IPS LCD,84.6 %,Qualcomm Snapdragon 860,2.96 GHz,Adreno 640,6 GB RAM,Android 11,7 nm,Missing,LPDDR4x,48 MP,20 MP,76.8 mm,6.67 inç,9.4 mm,215 gr,USB Type-C,5160 mAh,128 GB,2021,"4.239,90 TL"
95,6.53 inç,IPS LCD,81.1 %,MediaTek Helio G35,2.3 GHz,PowerVR GE8320,2 GB RAM,Android 10.0,12 nm,680 MHz,Missing,13 MP,5 MP,77 mm,6.53 inç,9 mm,196 gr,Micro-USB,5000 mAh,32 GB,2020,"2.199,00 TL"
96,6.43 inç,AMOLED,83.5 %,Mediatek Helio G95,2.05 GHz,Mali-G76 MC4,6 GB RAM,Android 11,12 nm,Missing,LPDDR4x,64 MP,13 MP,74.5 mm,6.43 inç,8.3 mm,178.8 gr,USB Type-C,5000 mAh,128 GB,2021,"3.599,00 TL"
97,6.5 inç,Super AMOLED,87.4 %,Exynos 9611,2.3 GHz,Mali-G72 MP3,6 GB RAM,Android 10.0,10 nm,Missing,LPDDR4x,48 MP,32 MP,73.6 mm,6.5 inç,7.9 mm,172 gr,USB Type-C,4000 mAh,128 GB,2019,"4.379,05 TL"
98,6.7 inç,OLED,87.4 %,Apple A15 Bionic,3.22 GHz,5x Apple GPU,6 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,78.1 mm,6.7 inç,7.7 mm,240 gr,Lightning,4373 mAh,128 GB,2021,"25.500,00 TL"
99,6.43 inç,AMOLED,83.5 %,Mediatek Helio G95,2.05 GHz,Mali-G76 MC4,6 GB RAM,Android 11,12 nm,Missing,LPDDR4x,64 MP,13 MP,74.5 mm,6.43 inç,8.3 mm,178.8 gr,USB Type-C,5000 mAh,128 GB,2021,"3.689,90 TL"
100,6.1 inç,OLED,86.0 %,Apple A15 Bionic,3.22 GHz,Apple Quad-Core,6 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,71.5 mm,6.1 inç,7.7 mm,204 gr,Lightning,3125 mAh,1 TB,2021,"25.999,00 TL"
101,6.09 inç,IPS LCD,78.48 %,Mediatek MT6761 Helio A22,2.0 GHz,PowerVR GE8320,3 GB RAM,Android 9.0 (Pie),12 nm,Missing,Missing,8 MP,5 MP,74 mm,6.09 inç,9.8 mm,171 gr,Micro-USB,4080 mAh,16 GB,2019,"1.199,00 TL"
102,6.5 inç,Super AMOLED,84.8 %,Exynos 990,2.73 GHz,Mali-G77 MP11,6 GB RAM,Android 10.0,7 nm+,Missing,LPDDR5,12 MP,8 Mp,74.5 mm,6.5 inç,8.4 mm,190 gr,USB Type-C,4500 mAh,128 GB,2020,"6.820,80 TL"
103,6.7 inç,Super AMOLED,87.4 %,Qualcomm SDM730 Snapdragon 730,2.2 GHz,Adreno 618,8 GB RAM,Android 10.0,8 nm,700 MHz,Missing,64 MP,32 MP,76.3 mm,6.7 inç,9.5 mm,213 gr,USB Type-C,7000 mAh,128 GB,2020,"8.199,00 TL"
104,6.53 inç,IPS LCD,83.2 %,Mediatek Helio G80,2.0 GHz,Mali-G52 MC2,4 GB RAM,Android 10.0,12 nm,950 MHz,LPDDR4x,13 MP,8 Mp,77 mm,6.53 inç,9.1 mm,198 gr,USB Type-C,5020 mAh,64 GB,2020,"2.821,42 TL"
105,6.9 inç,Dynamic AMOLED,91.7 %,Exynos 990,2.73 GHz,Mali-G77 MP11,8 GB RAM,Android 10.0,7 nm+,Missing,Missing,108 MP,10 MP,77.2 mm,6.9 inç,8.1 mm,208 gr,USB Type-C,4500 mAh,256 GB,2020,"12.899,00 TL"
106,6.1 inç,OLED,86.0 %,Apple A15 Bionic,3.22 GHz,Apple Quad-Core,4 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,71.5 mm,6.1 inç,7.7 mm,174 gr,Lightning,3240 mAh,128 GB,2021,"15.299,00 TL"
107,6.1 inç,IPS LCD,79 %,Apple A13 Bionic,2.66 GHz,Missing,4 GB RAM,iOS 13,7 nm,Missing,LPDDR4x,12 MP,12 MP,75.7 mm,6.1 inç,8.3 mm,194 gr,Lightning,Missing,256 GB,2019,"12.493,00 TL"
108,6.67 inç,AMOLED,85.6 %,Qualcomm SM7150 Snapdragon 732G,2.3 GHz,Adreno 618,8 GB RAM,Android 11,8 nm,Missing,LPDDR4x,108 MP,16 MP,76.5 mm,6.67 inç,8.1 mm,193 gr,USB Type-C,5020 mAh,128 GB,2021,"5.499,00 TL"
109,6.7 inç,OLED,87.4 %,Apple A15 Bionic,3.22 GHz,5x Apple GPU,6 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,78.1 mm,6.7 inç,7.7 mm,240 gr,Lightning,4373 mAh,256 GB,2021,"26.100,00 TL"
110,6.53 inç,IPS LCD,81.1 %,MediaTek Helio G35,2.3 GHz,PowerVR GE8320,2 GB RAM,Android 10.0,12 nm,680 MHz,Missing,13 MP,5 MP,77 mm,6.53 inç,9 mm,196 gr,Micro-USB,5000 mAh,32 GB,2020,"2.149,00 TL"
111,6.1 inç,OLED,86.0 %,Apple A15 Bionic,3.22 GHz,5x Apple GPU,6 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,71.5 mm,6.1 inç,7.7 mm,204 gr,Lightning,3125 mAh,256 GB,2021,"23.518,04 TL"
112,6.1 inç,IPS LCD,79 %,Apple A13 Bionic,2.66 GHz,Missing,4 GB RAM,iOS 13,7 nm,Missing,LPDDR4x,12 MP,12 MP,75.7 mm,6.1 inç,8.3 mm,194 gr,Lightning,Missing,256 GB,2019,"12.279,00 TL"
113,6.5 inç,Super AMOLED,84.9 %,Qualcomm Snapdragon 720G (SM7125),2.3 GHz,Adreno 619,8 GB RAM,Android 11,8 nm,Missing,LPDDR4x,64 MP,32 MP,75.1 mm,6.5 inç,8.4 mm,189 gr,USB Type-C,4500 mAh,128 GB,2021,"4.899,90 TL"
114,6.67 inç,IPS LCD,84.6 %,Qualcomm SM7150-AC Snapdragon 732G,2.3 GHz,Adreno 618,6 GB RAM,Android 10.0,8 nm,800 MHz,LPDDR4x,64 MP,20 MP,76.8 mm,6.67 inç,9.4 mm,215 gr,USB Type-C,5160 mAh,128 GB,2020,"4.449,99 TL"
115,6.67 inç,AMOLED,85.6 %,Qualcomm SM7150 Snapdragon 732G,2.3 GHz,Adreno 618,8 GB RAM,Android 11,8 nm,Missing,LPDDR4x,108 MP,16 MP,76.5 mm,6.67 inç,8.1 mm,193 gr,USB Type-C,5020 mAh,128 GB,2021,"5.879,02 TL"
116,6.43 inç,AMOLED,83.5 %,Mediatek Helio G95,2.2 GHz,Adreno 612,6 GB RAM,Android 11,11 nm,Missing,LPDDR4x,48 MP,13 MP,74.5 mm,6.43 inç,8.3 mm,178.8 gr,USB Type-C,5000 mAh,64 GB,2021,"3.599,00 TL"
117,6.09 inç,IPS LCD,79.32 %,MediaTek MT6762D (Helio A25),1.8 GHz,PowerVR GE8320,4 GB RAM,Android 10 (Q),12 nm,600 MHz,LPDDR4x,13 MP,8 Mp,73.8 mm,6.09 inç,8.8 mm,160 gr,USB Type-C,4000 mAh,64 GB,2020,"2.253,48 TL"
118,6.1 inç,IPS LCD,79 %,Apple A13 Bionic,2.66 GHz,Missing,4 GB RAM,iOS 13,7 nm,Missing,LPDDR4x,12 MP,12 MP,75.7 mm,6.1 inç,8.3 mm,194 gr,Lightning,Missing,64 GB,2019,"10.299,00 TL"
119,6.5 inç,Super AMOLED,84.9 %,Qualcomm Snapdragon 778G 5G,2.4 GHz,Adreno 642L,8 GB RAM,Android 11,6 nm,Missing,LPDDR4x,64 MP,32 MP,75.1 mm,6.5 inç,8.4 mm,189 gr,USB Type-C,4500 mAh,128 GB,2021,"5.683,02 TL"
120,6.67 inç,IPS LCD,84.5 %,Qualcomm SM7125 Snapdragon 720G,2.3 GHz,Adreno 618,6 GB RAM,Android 10.0,8 nm,750 MHz,LPDDR4x,48 MP,16 MP,76.7 mm,6.67 inç,8.8 mm,209 gr,USB Type-C,5020 mAh,128 GB,2020,"3.974,00 TL"
121,6.1 inç,OLED,86.0 %,Apple A15 Bionic,3.22 GHz,Apple Quad-Core,4 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,71.5 mm,6.1 inç,7.7 mm,174 gr,Lightning,3240 mAh,512 GB,2021,"17.754,57 TL"
122,6.7 inç,Super AMOLED,86.6 %,Exynos 9810,2.7 GHz,Mali-G72 MP18,8 GB RAM,Android 10.0,10 nm,Missing,LPDDR4x,12 MP,32 MP,76.1 mm,6.7 inç,8.7 mm,199 gr,USB Type-C,4500 mAh,128 GB,2020,"8.899,00 TL"
123,5.84 inç,IPS LCD,79.38 %,HiSilicon Kirin 659,2.36 GHz,Mali-T830 MP2,4 GB RAM,Android 8.0 (Oreo),16 nm,Missing,LPDDR3,16 MP,16 MP,71.2 mm,5.84 inç,7.4 mm,145 gr,USB Type-C,3000 mAh,64 GB,2018,"1.949,00 TL"
124,6.1 inç,IPS LCD,79 %,Apple A13 Bionic,2.66 GHz,Missing,4 GB RAM,iOS 13,7 nm,Missing,LPDDR4x,12 MP,12 MP,75.7 mm,6.1 inç,8.3 mm,194 gr,Lightning,Missing,128 GB,2019,"11.099,00 TL"
125,6.1 inç,IPS LCD,79 %,Apple A13 Bionic,2.66 GHz,Missing,4 GB RAM,iOS 13,7 nm,Missing,LPDDR4x,12 MP,12 MP,75.7 mm,6.1 inç,8.3 mm,194 gr,Lightning,Missing,64 GB,2019,"10.266,00 TL"
126,6.5 inç,Super AMOLED,84.8 %,Exynos 990,2.73 GHz,Mali-G77 MP11,6 GB RAM,Android 10.0,7 nm+,Missing,LPDDR5,12 MP,8 Mp,74.5 mm,6.5 inç,8.4 mm,190 gr,USB Type-C,4500 mAh,128 GB,2020,"6.552,28 TL"
127,6.7 inç,Super AMOLED,86.4 %,Qualcomm SM7325 Snapdragon 778G 5G,2.4 GHz,Adreno 642L,8 GB RAM,Android 11,6 nm,Missing,LPDDR4x,64 MP,32 MP,76.4 mm,6.7 inç,7.4 mm,173 gr,USB Type-C,5000 mAh,128 GB,2021,"5.017,48 TL"
128,6.1 inç,IPS LCD,79 %,Apple A13 Bionic,2.66 GHz,Missing,4 GB RAM,iOS 13,7 nm,Missing,LPDDR4x,12 MP,12 MP,75.7 mm,6.1 inç,8.3 mm,194 gr,Lightning,Missing,256 GB,2019,"12.149,00 TL"
129,6.5 inç,TFT LCD,83.4%,MediaTek MT6765 (Helio P35),2.3 GHz,PowerVR GE8320,4 GB RAM,Android 10.0,12 nm,680 MHz,Missing,48 MP,8 Mp,75.8 mm,6.5 inç,8.9 mm,205 gr,USB Type-C,5000 mAh,128 GB,2020,"2.924,00 TL"
130,6.47 inç,AMOLED,87.8 %,Qualcomm SDM730 Snapdragon 730G,2.2 GHz,Adreno 618,6 GB RAM,Android 9.0 (Pie),8 nm,Missing,LPDDR4x,108 MP,32 MP,74.2 mm,6.47 inç,9.7 mm,208 gr,USB Type-C,5260 mAh,128 GB,2019,"5.813,21 TL"
131,6.7 inç,OLED,87.4 %,Apple A15 Bionic,3.22 GHz,5x Apple GPU,6 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,78.1 mm,6.7 inç,7.7 mm,240 gr,Lightning,4373 mAh,1 TB,2021,"28.999,00 TL"
132,6.53 inç,IPS LCD,83.5 %,MediaTek Helio G85,2.0 GHz,Mali-G52 MC2,3 GB RAM,Android 10.0,12 nm,1000 MHz,LPDDR4x,48 MP,13 MP,77.2 mm,6.53 inç,8.9 mm,199 gr,USB Type-C,5020 mAh,64 GB,2020,"3.152,66 TL"
133,6.3 inç,IPS LCD,80.39 %,Huawei Kirin 710,2.2 GHz,Mali-G51 MP4,4 GB RAM,Android 8.1 (Oreo),12 nm,1000 MHz,LPDDR4x,20 MP,24 MP,75.3 mm,6.3 inç,7.6 mm,172 gr,USB Type-C,3750 mAh,64 GB,2018,"2.699,00 TL"
134,6.53 inç,IPS LCD,83.4%,Qualcomm SM6115 Snapdragon 662,2.0 GHz,Adreno 610,4 GB RAM,Android 10.0,11 nm,Missing,LPDDR4x,48 MP,8 Mp,77.3 mm,6.53 inç,9.6 mm,198 gr,USB Type-C,6000 mAh,128 GB,2021,"3.015,00 TL"
135,6.2 inç,IPS LCD,79.25 %,MediaTek MT6737,1.3 GHz,Mali-T720 MP1,2 GB RAM,Android 10 (Q),28 nm,650 MHz,Missing,13 MP,5 MP,76 mm,6.2 inç,8.8 mm,180 gr,Micro-USB,4200 mAh,16 GB,2020,"1.299,00 TL"
136,6.4 inç,Super AMOLED,83.9 %,Mediatek Helio G80,2.0 GHz,Mali-G52 MC2,6 GB RAM,Android 11,12 nm,950 MHz,LPDDR4x,64 MP,20 MP,74 mm,6.4 inç,8.4 mm,180 gr,USB Type-C,5000 mAh,128 GB,2021,"3.448,87 TL"
137,6.5 inç,PLS TFT,82.8 %,Exynos 850,2.0 GHz,Mali-G52,4 GB RAM,Android 10.0,8 nm,Missing,Missing,48 MP,13 MP,75.3 mm,6.5 inç,8.9 mm,192 gr,USB Type-C,5000 mAh,64 GB,2020,"2.920,00 TL"
138,6.22 inç,IPS LCD,81.07 %,Qualcomm SDM439 Snapdragon 439,1.95 GHz,Adreno 505,4 GB RAM,Android 9.0 (Pie),12 nm,650 MHz,LPDDR3,12 MP,8 Mp,75.4 mm,6.22 inç,9.4 mm,188 gr,USB Type-C,5000 mAh,64 GB,2019,"3.099,00 TL"
139,6.1 inç,OLED,86.0 %,Apple A15 Bionic,3.22 GHz,Apple Quad-Core,4 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,71.5 mm,6.1 inç,7.7 mm,174 gr,Lightning,3240 mAh,256 GB,2021,"16.218,02 TL"
140,6.67 inç,AMOLED,85.6 %,Qualcomm SM7150 Snapdragon 732G,2.3 GHz,Adreno 618,8 GB RAM,Android 11,8 nm,Missing,LPDDR4x,108 MP,16 MP,76.5 mm,6.67 inç,8.1 mm,193 gr,USB Type-C,5020 mAh,128 GB,2021,"5.499,00 TL"
141,6.57 inç,OLED,89.9 %,Qualcomm SM7325 Snapdragon 778G 4G,2.4 GHz,Adreno 642L,8 GB RAM,Android 11,6 nm,Missing,Missing,64 MP,32 MP,73.7 mm,6.57 inç,7.8 mm,175 gr,USB Type-C,4300 mAh,128 GB,2021,"9.499,00 TL"
142,6.1 inç,OLED,86.0 %,Apple A15 Bionic,3.22 GHz,Apple Quad-Core,4 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,71.5 mm,6.1 inç,7.7 mm,174 gr,Lightning,3240 mAh,256 GB,2021,"17.224,48 TL"
143,6.43 inç,AMOLED,84.4 %,Qualcomm SM6115 Snapdragon 662,2.0 GHz,Adreno 610,4 GB RAM,Android 11,11 nm,950 MHz,LPDDR4x,48 MP,16 MP,73.8 mm,6.43 inç,8 mm,175 gr,USB Type-C,5000 mAh,128 GB,2021,"3.298,00 TL"
144,5.4 inç,OLED,85.1 %,Apple A14 Bionic,3.1 GHz,Apple Quad-Core,4 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,64.2 mm,5.4 inç,7.4 mm,135 gr,Lightning,2227 mAh,128 GB,2020,"11.449,00 TL"
145,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,192 g,Missing,Missing,Missing,Missing,"4.299,00 TL"
146,6.3 inç,IPS LCD,80.98 %,Qualcomm Snapdragon 665 (SM6125),2.0 GHz,Adreno 610,6 GB RAM,Android 9.0 (Pie),11 nm,Missing,LPDDR4x,48 MP,13 MP,75.3 mm,6.3 inç,8.4 mm,190 gr,USB Type-C,4000 mAh,128 GB,2019,"3.134,04 TL"
